date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2022-07-12,sh.601360,7.9700,7.9800,7.9100,7.9200,7.9600,26683842,211837166.5800,3,0.373400,1,-0.502500,66.296175,1.655614,5.211212,-255.689639,0
2022-07-13,sh.601360,7.9400,7.9600,7.9000,7.9200,7.9200,28564157,226357786.8700,3,0.399800,1,0.000000,66.296175,1.655614,5.211212,-255.689639,0
2022-07-14,sh.601360,7.9100,7.9400,7.8500,7.8700,7.9200,26856961,211838064.7500,3,0.375900,1,-0.631300,65.877638,1.645162,5.178312,-254.075437,0
2022-07-15,sh.601360,7.3500,7.5500,7.2800,7.3300,7.8700,106606386,788964652.3700,3,1.492000,1,-6.861500,61.357444,1.532279,4.823003,-236.642053,0
2022-07-18,sh.601360,7.3200,7.4400,7.2900,7.4100,7.3300,45088640,332304996.0800,3,0.631000,1,1.091400,62.027103,1.549003,4.875641,-239.224776,0
2022-07-19,sh.601360,7.3900,7.5100,7.3700,7.5000,7.4100,40054710,298925985.2400,3,0.560600,1,1.214600,62.780468,1.567817,4.934859,-242.130340,0
2022-07-20,sh.601360,7.5000,7.5400,7.4600,7.4700,7.5000,35748466,267796030.2300,3,0.500300,1,-0.400000,62.529347,1.561545,4.915120,-241.161819,0
2022-07-21,sh.601360,7.4500,7.6600,7.4400,7.5600,7.4700,60591066,458484672.7700,3,0.848000,1,1.204800,63.282712,1.580359,4.974338,-244.067383,0
2022-07-22,sh.601360,7.5500,7.6000,7.4100,7.4700,7.5600,31513723,236165997.3200,3,0.441000,1,-1.190500,62.529347,1.561545,4.915120,-241.161819,0
2022-07-25,sh.601360,7.4800,7.4900,7.3500,7.3700,7.4700,31242805,230955055.5000,3,0.437200,1,-1.338700,61.692274,1.540641,4.849322,-237.933414,0
2022-07-26,sh.601360,7.3600,7.4200,7.3600,7.4000,7.3700,21284184,157308913.9500,3,0.297900,1,0.407100,61.943395,1.546912,4.869061,-238.901936,0
2022-07-27,sh.601360,7.4000,7.4100,7.3500,7.3800,7.4000,22179470,163563017.4600,3,0.310400,1,-0.270300,61.775981,1.542731,4.855902,-238.256255,0
2022-07-28,sh.601360,7.4100,7.5200,7.4000,7.4800,7.3800,35411622,264659845.0800,3,0.495600,1,1.355000,62.613054,1.563636,4.921700,-241.484659,0
2022-07-29,sh.601360,7.4800,7.5200,7.3800,7.3900,7.4800,28034701,208435002.4200,3,0.392300,1,-1.203200,61.859688,1.544822,4.862481,-238.579095,0
2022-08-01,sh.601360,7.3900,7.4400,7.3500,7.4300,7.3900,22489458,166391183.2000,3,0.314700,1,0.541300,62.194517,1.553184,4.888801,-239.870457,0
2022-08-02,sh.601360,7.3500,7.3500,6.9900,7.0500,7.4300,65567940,465138089.4600,3,0.917600,1,-5.114400,59.013640,1.473748,4.638768,-227.602520,0
2022-08-03,sh.601360,7.0500,7.2700,7.0500,7.1200,7.0500,46702395,333935679.5700,3,0.653600,1,0.992900,59.599591,1.488381,4.684827,-229.862403,0
2022-08-04,sh.601360,7.1400,7.2400,7.1300,7.2300,7.1200,28546446,205196557.0000,3,0.399500,1,1.544900,60.520372,1.511375,4.757204,-233.413648,0
2022-08-05,sh.601360,7.2500,7.6100,7.2300,7.5700,7.2300,80074495,598098807.0000,3,1.120600,1,4.702600,63.366419,1.582450,4.980918,-244.390224,0
2022-08-08,sh.601360,7.5700,7.7900,7.5100,7.7600,7.5700,67167464,514693672.0000,3,0.940000,1,2.509900,64.956858,1.622168,5.105935,-250.524192,0
2022-08-09,sh.601360,7.7400,7.8200,7.5900,7.7300,7.7600,49889149,384186702.0000,3,0.698200,1,-0.386600,64.705736,1.615896,5.086195,-249.555671,0
2022-08-10,sh.601360,7.6600,7.7700,7.6500,7.6600,7.7300,30932430,238067452.0000,3,0.432900,1,-0.905600,64.119785,1.601263,5.040136,-247.295788,0
2022-08-11,sh.601360,7.7200,7.8500,7.7100,7.8000,7.6600,39706298,309304052.0000,3,0.555700,1,1.827700,65.291687,1.630529,5.132254,-251.815554,0
2022-08-12,sh.601360,7.8100,7.8400,7.7200,7.7600,7.8000,31284400,243446522.0000,3,0.437800,1,-0.512800,64.956858,1.622168,5.105935,-250.524192,0
